id	relation
0	http://example.org/music/prop/collaboratedWith
1	http://example.org/music/prop/hasGenre
2	http://example.org/music/prop/influencedBy
3	http://example.org/music/prop/originatesFrom
4	http://example.org/music/prop/partOfGenre
5	http://example.org/music/prop/producedBy
6	http://example.org/music/prop/releasedAlbum
7	http://example.org/music/prop/signedTo
8	http://example.org/music/prop/wonAward
9	http://www.w3.org/1999/02/22-rdf-syntax-ns#type
10	http://www.w3.org/2000/01/rdf-schema#domain
11	http://www.w3.org/2000/01/rdf-schema#range
12	http://www.w3.org/2000/01/rdf-schema#subPropertyOf
13	http://www.w3.org/2002/07/owl#equivalentProperty
14	http://www.w3.org/2002/07/owl#inverseOf
15	http://www.w3.org/2002/07/owl#sameAs
16	http://www.w3.org/2004/02/skos/core#relatedMatch
17	http://www.w3.org/ns/prov#wasDerivedFrom
18	http://www.wikidata.org/prop/direct/P10
19	http://www.wikidata.org/prop/direct/P1001
20	http://www.wikidata.org/prop/direct/P10027
21	http://www.wikidata.org/prop/direct/P101
22	http://www.wikidata.org/prop/direct/P1019
23	http://www.wikidata.org/prop/direct/P102
24	http://www.wikidata.org/prop/direct/P10225
25	http://www.wikidata.org/prop/direct/P1027
26	http://www.wikidata.org/prop/direct/P10280
27	http://www.wikidata.org/prop/direct/P103
28	http://www.wikidata.org/prop/direct/P10311
29	http://www.wikidata.org/prop/direct/P1035
30	http://www.wikidata.org/prop/direct/P1038
31	http://www.wikidata.org/prop/direct/P1040
32	http://www.wikidata.org/prop/direct/P105
33	http://www.wikidata.org/prop/direct/P1050
34	http://www.wikidata.org/prop/direct/P1056
35	http://www.wikidata.org/prop/direct/P1057
36	http://www.wikidata.org/prop/direct/P106
37	http://www.wikidata.org/prop/direct/P10624
38	http://www.wikidata.org/prop/direct/P1066
39	http://www.wikidata.org/prop/direct/P1071
40	http://www.wikidata.org/prop/direct/P1072
41	http://www.wikidata.org/prop/direct/P1073
42	http://www.wikidata.org/prop/direct/P108
43	http://www.wikidata.org/prop/direct/P109
44	http://www.wikidata.org/prop/direct/P11136
45	http://www.wikidata.org/prop/direct/P112
46	http://www.wikidata.org/prop/direct/P11212
47	http://www.wikidata.org/prop/direct/P1142
