mbid,name,sort_name,type,country,birth_year,tags,disambiguation
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,Beyoncé,Person,USA,1981,"['2000s', '2010s', '2020s', 'adult contemporary', 'american']",
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,"Jackson, Michael",Person,USA,1958,"['contemporary r&b', 'dance-pop', 'disco', 'new jack swing', 'pop']",“King of Pop”
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,"Bowie, David",Person,UK,1947,"['actors', 'alternative rock', 'art pop', 'art rock', 'british']",English singer‐songwriter
2f9ecbed-27be-40e6-abca-6de49d50299e,Aretha Franklin,"Franklin, Aretha",Person,USA,1942,"['deep soul', 'gospel', 'soul', 'southern soul']",
618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,"Clapton, Eric",Person,UK,1945,"['blues', 'blues rock', 'rock', 'soft rock']",
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,JAY‐Z,Person,USA,1969,"['boom bap', 'east coast hip hop', 'hip hop', 'pop rap']",US rapper
381086ea-f511-4aba-bdf9-71c753dc5077,Kendrick Lamar,"Lamar, Kendrick",Person,USA,1987,"['2010s', '2020s', 'alternative hip hop', 'conscious hip hop', 'hardcore hip hop']",
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,Adele,Person,UK,1988,"['blue-eyed soul', 'neo soul', 'pop', 'pop soul', 'soul']",UK soul/jazz singer
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Drake,Person,Canada,1986,"['alternative r&b', 'contemporary r&b', 'hip hop', 'pop', 'pop rap']",Canadian rapper
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,"Swift, Taylor",Person,USA,1989,"['2000s', '2010s', '2020s', 'alternative pop', 'artist of the decade']",
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,Radiohead,Group,UK,1991,"['alternative', 'alternative rock', 'alternative rock music', 'art pop', 'art rock']",
2944824d-4c26-476f-a981-be849081942f,Nina Simone,"Simone, Nina",Person,USA,1933,"['blues', 'jazz', 'r&b', 'soul', 'soul jazz']",
c296e10c-110a-4103-9e77-47bfebb7fb2e,Bob Marley & The Wailers,"Marley, Bob & The Wailers",Group,Jamaica,1970,"['reggae', 'roots reggae', 'ska']",
056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,Daft Punk,Group,France,1993,"['dance', 'disco', 'electro house', 'electronic', 'film score']",French electronic duo
78a19169-ac75-4868-b504-7e2e073118e0,Burna Boy,Burna Boy,Person,Nigeria,1991,[],"Nigerian rapper, singer-songwriter, and record producer"
070d193a-845c-479f-980e-bef15710653e,Prince,Prince,Person,USA,1958,"['contemporary r&b', 'funk', 'funk rock', 'neo-psychedelia', 'pop']",“The Artist Formerly Known as…”
f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,"Eilish, Billie",Person,USA,2001,"['alt-pop', 'alternative pop', 'alternative r&b', 'art pop', 'bedroom pop']",
e520459c-dff4-491d-a6e4-c97be35e0044,Frank Ocean,"Ocean, Frank",Person,USA,1987,"['alternative r&b', 'contemporary r&b', 'pop', 'queer', 'r&b']",
ba550d0e-adac-4864-b88b-407cab5e76af,Paul McCartney,"McCartney, Paul",Person,UK,1942,"['british', 'pop', 'pop rock', 'rock', 'rock & roll']",The Beatles
561d854a-6a28-4aa7-8c99-323e6ce46c2a,Miles Davis,"Davis, Miles",Person,USA,1926,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion']","jazz trumpeter, bandleader, songwriter"
